,R2_adj,RMSE,MAE
Original +W,0.019202610598808012,2106.5389042729653,20.1690608213274
W/o Redundant +W,0.019101194336459182,2106.9679491451166,20.17478045005815
W/o Location Eng +W,0.019061402296494223,2107.8983560412157,20.194183274547626
W/o Time Eng +W,0.018544732872478487,2110.0653290058763,20.14823822365698
W/o Label Enc +W,0.01881692931420864,2110.1139824763404,20.15408152135706
W/o Low p-v +W,0.01898291648234718,2109.5457632465423,20.215143860263698
Poly (2) +W,0.0234438432509515,2083.5505399649046,20.050633969082977
Poly (3) +W,0.027706760575452294,1998.2439917337672,20.817340152534676
Poly (4) +W,0.01416144703932154,1736.3082362225618,22.305426735732954
X-std y-lin +W,0.019234447007576372,2109.004880561888,20.207856700519702
X-std y-log +W,-0.06110548436996255,2281.765135917783,13.499542092272966
