,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,crs_arr_time,dup,crs_elapsed_time,flights,distance,arr_delay,season,weekday,month,peak_season,dep_taxi_ind,arr_taxi_ind,carriers_lateness_ind,carrier_enc,airtime_ind,orig_airp_fl_ind,dest_airp_fl_ind,orig_airp_pss_ind,dest_airp_pss_ind,orig_airp_enc,dest_airp_enc
0,2018-10-30,AA,AA_CODESHARE,AA,4510,YX,N117HQ,4510,14100,PHL,"Philadelphia, PA",10581,BGR,"Bangor, ME",1030,1210,N,100,1,473,0.0,4,1,10,0,0.05951360975456419,0.057866140723193765,-0.001449590526739375,0,0.35026571661163297,0.01914,0.00064,0.01716716245137496,0.0009685973106483787,230,29
1,2019-11-19,AA,AA_CODESHARE,AA,4785,PT,N655AE,4785,14100,PHL,"Philadelphia, PA",10581,BGR,"Bangor, ME",1245,1425,N,100,1,473,0.0,4,1,11,0,0.057866140723193765,0.05552470357244471,-0.001449590526739375,0,0.35026571661163297,0.01914,0.00064,0.01716716245137496,0.0009685973106483787,230,29
2,2019-07-06,AA,AA_CODESHARE,AA,4785,PT,N654AE,4785,14100,PHL,"Philadelphia, PA",10581,BGR,"Bangor, ME",1241,1422,N,101,1,473,0.0,3,5,7,2,0.057866140723193765,0.05552470357244471,-0.001449590526739375,0,0.35026571661163297,0.01914,0.00064,0.01716716245137496,0.0009685973106483787,230,29
3,2018-02-22,UA,UA_CODESHARE,UA,4093,EV,N14568,4093,11618,EWR,"Newark, NJ",10581,BGR,"Bangor, ME",1010,1154,N,104,1,393,0.0,1,3,2,0,0.05951360975456419,0.05816597363888349,0.05591569564467608,8,0.35026571661163297,0.02008,0.00064,0.022154442545058082,0.0009685973106483787,101,29
4,2019-12-07,AA,AA_CODESHARE,AA,3741,MQ,N805AE,3741,12953,LGA,"New York, NY",10581,BGR,"Bangor, ME",700,827,N,87,1,378,0.0,1,5,12,1,0.05530305289552354,0.06609300784804596,-0.001449590526739375,0,0.35026571661163297,0.0205,0.00064,0.011639858398503223,0.0009685973106483787,173,29
5,2018-02-05,DL,DL_CODESHARE,DL,3992,9E,N8886A,3992,12953,LGA,"New York, NY",10581,BGR,"Bangor, ME",1010,1152,N,102,1,378,0.0,1,0,2,0,0.05951360975456419,0.05816597363888349,-0.01954519343156605,3,0.35026571661163297,0.0205,0.00064,0.011639858398503223,0.0009685973106483787,173,29
6,2018-12-08,AA,AA_CODESHARE,AA,4230,AX,N610AE,4230,11278,DCA,"Washington, DC",10581,BGR,"Bangor, ME",1004,1155,N,111,1,590,42.0,1,5,12,1,0.05951360975456419,0.05816597363888349,-0.001449590526739375,0,0.35026571661163297,0.01814,0.00064,0.010507046424293003,0.0009685973106483787,81,29
7,2018-05-31,AA,AA_CODESHARE,AA,4279,AX,N611AE,4279,11278,DCA,"Washington, DC",10581,BGR,"Bangor, ME",2210,2356,N,106,1,590,147.0,2,3,5,1,0.03243353905202827,0.01814795142384365,-0.001449590526739375,0,0.35026571661163297,0.01814,0.00064,0.010507046424293003,0.0009685973106483787,81,29
8,2018-02-04,AA,AA_CODESHARE,AA,4929,PT,N626AE,4929,14100,PHL,"Philadelphia, PA",10257,ALB,"Albany, NY",1325,1445,N,80,1,212,0.0,1,6,2,0,0.05404407705061131,0.05552470357244471,-0.001449590526739375,0,0.35026571661163297,0.01914,0.00266,0.01716716245137496,0.002497678112338982,230,12
9,2018-07-22,AA,AA_CODESHARE,AA,5555,OH,N245PS,5555,14100,PHL,"Philadelphia, PA",10257,ALB,"Albany, NY",1225,1331,N,66,1,212,168.0,3,6,7,2,0.057866140723193765,0.05404407705061131,-0.001449590526739375,0,0.21342394833847084,0.01914,0.00266,0.01716716245137496,0.002497678112338982,230,12
10,2019-05-12,AA,AA_CODESHARE,AA,5515,OH,N577NN,5515,14100,PHL,"Philadelphia, PA",10257,ALB,"Albany, NY",1055,1211,N,76,1,212,0.0,2,6,5,1,0.05951360975456419,0.057866140723193765,-0.001449590526739375,0,0.35026571661163297,0.01914,0.00266,0.01716716245137496,0.002497678112338982,230,12
11,2019-01-22,UA,UA_CODESHARE,UA,4926,C5,N11199,4926,12264,IAD,"Washington, DC",10257,ALB,"Albany, NY",1720,1853,N,93,1,325,0.0,1,1,1,0,0.06176477462962172,0.05965869019763986,0.05591569564467608,8,0.35026571661163297,0.01252,0.00266,0.014227989177984467,0.002497678112338982,140,12
12,2019-05-09,UA,UA_CODESHARE,UA,4970,C5,N16183,4970,12264,IAD,"Washington, DC",10257,ALB,"Albany, NY",2200,2331,N,91,1,325,0.0,2,3,5,1,0.03243353905202827,0.01814795142384365,0.05591569564467608,8,0.35026571661163297,0.01252,0.00266,0.014227989177984467,0.002497678112338982,140,12
13,2018-06-15,B6,B6,B6,88,B6,N591JB,88,11697,FLL,"Fort Lauderdale, FL",10257,ALB,"Albany, NY",1400,1705,N,185,1,1204,0.0,3,4,6,2,0.05552470357244471,0.06176477462962172,0.027142308915671882,2,0.10185498550220896,0.01284,0.00266,0.013969014577416446,0.002497678112338982,109,12
14,2018-05-23,UA,UA_CODESHARE,UA,5710,OO,N946SW,5710,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",625,927,N,122,1,723,0.0,2,2,5,1,0.048601142427888974,0.0623523504240782,0.05591569564467608,8,0.22531183208783437,0.04976,0.00266,0.04211271586825138,0.002497678112338982,218,12
15,2019-08-18,AA,AA_CODESHARE,AA,3205,OO,N766SK,3205,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",1839,2148,N,129,1,723,56.0,3,6,8,2,0.05965869019763986,0.04302602340147547,-0.001449590526739375,0,0.22531183208783437,0.04976,0.00266,0.04211271586825138,0.002497678112338982,218,12
16,2018-05-23,UA,UA_CODESHARE,UA,5710,OO,N946SW,5710,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",625,927,N,122,1,723,0.0,2,2,5,1,0.048601142427888974,0.0623523504240782,0.05591569564467608,8,0.22531183208783437,0.04976,0.00266,0.04211271586825138,0.002497678112338982,218,12
17,2018-03-22,AA,AA_CODESHARE,AA,3661,MQ,N256NN,3661,13930,ORD,"Chicago, IL",10257,ALB,"Albany, NY",1345,1647,N,122,1,723,0.0,2,3,3,1,0.05404407705061131,0.056478204484436495,-0.001449590526739375,0,0.22531183208783437,0.04976,0.00266,0.04211271586825138,0.002497678112338982,218,12
18,2018-09-16,B6,B6,B6,120,B6,N583JB,120,13204,MCO,"Orlando, FL",10257,ALB,"Albany, NY",1034,1317,N,163,1,1073,0.0,4,6,9,0,0.05951360975456419,0.05404407705061131,0.027142308915671882,2,0.10185498550220896,0.01688,0.00266,0.01624594510922967,0.002497678112338982,186,12
19,2019-01-24,WN,WN,WN,2294,WN,N8676A,2294,10821,BWI,"Baltimore, MD",10257,ALB,"Albany, NY",1735,1850,N,75,1,289,0.0,1,3,1,0,0.06176477462962172,0.05965869019763986,-0.03725267355189793,10,0.35026571661163297,0.01352,0.00266,0.010323987455076521,0.002497678112338982,49,12
20,2018-01-23,AA,AA_CODESHARE,AA,5649,OH,N248PS,5649,11278,DCA,"Washington, DC",10257,ALB,"Albany, NY",1510,1631,N,81,1,318,0.0,1,1,1,0,0.059419307466565,0.056478204484436495,-0.001449590526739375,0,0.35026571661163297,0.01814,0.00266,0.010507046424293003,0.002497678112338982,81,12
21,2018-09-25,AA,AA,AA,415,AA,N979UY,415,14100,PHL,"Philadelphia, PA",13303,MIA,"Miami, FL",500,752,N,172,1,1013,0.0,4,1,9,0,0.02774663473822249,0.05530305289552354,-0.001449590526739375,0,0.10185498550220896,0.01914,0.01078,0.01716716245137496,0.02304389377195698,230,195
22,2019-11-15,F9,F9,F9,2291,F9,N713FR,2291,14100,PHL,"Philadelphia, PA",13303,MIA,"Miami, FL",2238,133,N,175,1,1013,0.0,4,4,11,0,0.03243353905202827,0.0027025262535151783,0.0013041744428902644,4,0.10185498550220896,0.01914,0.01078,0.01716716245137496,0.02304389377195698,230,195
23,2019-09-05,AA,AA,AA,415,AA,N188AN,415,14100,PHL,"Philadelphia, PA",13303,MIA,"Miami, FL",650,936,N,166,1,1013,0.0,4,3,9,0,0.048601142427888974,0.0623523504240782,-0.001449590526739375,0,0.10185498550220896,0.01914,0.01078,0.01716716245137496,0.02304389377195698,230,195
24,2018-07-12,AA,AA,AA,592,AA,N762US,592,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",1230,1432,N,122,1,594,0.0,3,3,7,2,0.057866140723193765,0.05552470357244471,-0.001449590526739375,0,0.22531183208783437,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
25,2018-10-18,AA,AA,AA,2717,AA,N964AN,2717,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",952,1154,N,122,1,594,0.0,4,3,10,0,0.0623523504240782,0.05816597363888349,-0.001449590526739375,0,0.22531183208783437,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
26,2019-03-19,AA,AA,AA,2344,AA,N978AN,2344,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",730,929,N,119,1,594,17.0,2,1,3,1,0.05530305289552354,0.0623523504240782,-0.001449590526739375,0,0.22531183208783437,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
27,2018-07-12,AA,AA,AA,592,AA,N762US,592,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",1230,1432,N,122,1,594,0.0,3,3,7,2,0.057866140723193765,0.05552470357244471,-0.001449590526739375,0,0.22531183208783437,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
28,2018-02-26,AA,AA,AA,1756,AA,N721UW,1756,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",550,746,N,116,1,594,0.0,1,0,2,0,0.02774663473822249,0.05530305289552354,-0.001449590526739375,0,0.35026571661163297,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
29,2019-07-17,AA,AA,AA,1151,AA,N981NN,1151,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",530,727,N,117,1,594,0.0,3,2,7,2,0.02774663473822249,0.05530305289552354,-0.001449590526739375,0,0.22531183208783437,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
30,2019-06-15,DL,DL,DL,1795,DL,N986DL,1795,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",1155,1348,N,113,1,594,0.0,3,5,6,2,0.05816597363888349,0.05404407705061131,-0.01954519343156605,3,0.35026571661163297,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
31,2018-08-03,DL,DL,DL,1862,DL,N999DN,1862,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",1357,1600,N,123,1,594,0.0,3,4,8,2,0.05404407705061131,0.056478204484436495,-0.01954519343156605,3,0.22531183208783437,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
32,2018-02-27,DL,DL,DL,2191,DL,N348NW,2191,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",2037,2230,N,113,1,594,0.0,1,1,2,0,0.0532356565816952,0.03243353905202827,-0.01954519343156605,3,0.35026571661163297,0.04904,0.01078,0.035132785053773576,0.02304389377195698,17,195
