,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,crs_arr_time,dup,crs_elapsed_time,flights,distance,total_delay,Season,Weekday,month,peak_season,dep_taxi_ind,arr_taxi_ind,carriers_lateness_ind,airtime_ind,orig_airp_fl_ind,dest_airp_fl_ind,orig_airp_pss_ind,dest_airp_pss_ind,dep_weather,dep_weather_rank,arr_weather,arr_weather_rank
20388,2018-10-30,AA,AA_CODESHARE,AA,4510,YX,N117HQ,4510,14100,PHL,"Philadelphia, PA",10581,BGR,"Bangor, ME",1030,1210,N,100,1,473,0.0,4,1,10,0,0.0595136097545641,0.0578661407231937,-0.0014495905267393,0.3502657166116329,0.01914,0.00064,0.0171671624513749,0.0009685973106483,Sunny,1,Cloudy,2
26211,2019-01-25,DL,DL,DL,1883,DL,N364NB,1883,14908,SNA,"Santa Ana, CA",13487,MSP,"Minneapolis, MN",845,1423,N,218,1,1522,0.0,1,4,1,0,0.0660930078480459,0.0555247035724447,-0.019545193431566,0.1018549855022089,0.00528,0.01992,0.0025859771445492,0.0232630261262837,Sunny,1,Partly cloudy,1
12716,2018-07-12,AA,AA,AA,592,AA,N762US,592,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",1230,1432,N,122,1,594,0.0,3,3,7,2,0.0578661407231937,0.0555247035724447,-0.0014495905267393,0.3502657166116329,0.04904,0.01078,0.0351327850537735,0.0230438937719569,Light rain shower,1,Light rain shower,1
41735,2019-09-04,UA,UA_CODESHARE,UA,4316,EV,N14568,4316,12266,IAH,"Houston, TX",12915,LCH,"Lake Charles, LA",2130,2221,N,51,1,127,0.0,4,2,9,0,0.0430260234014754,0.0324335390520282,0.055915695644676,0.2134239483384708,0.02232,0.00028,0.024859946428331,0.0001814437430175,Sunny,1,Sunny,1
42115,2019-09-09,UA,UA_CODESHARE,UA,3565,YX,N653RW,3565,13198,MCI,"Kansas City, MO",11618,EWR,"Newark, NJ",1225,1617,N,172,1,1092,56.0,4,0,9,0,0.0578661407231937,0.0564782044844364,0.055915695644676,0.2253118320878343,0.00626,0.02008,0.0072367517801138,0.022154442545058,Partly cloudy,1,Light rain shower,1
48649,2019-12-11,UA,UA_CODESHARE,UA,4605,AX,N14125,4605,10627,BIS,"Bismarck/Mandan, ND",13930,ORD,"Chicago, IL",1440,1656,N,136,1,716,45.0,1,2,12,1,0.0555247035724447,0.0564782044844364,0.055915695644676,0.2253118320878343,0.00064,0.04976,0.0008092283256834,0.0421127158682513,Partly cloudy,1,Overcast,2
36014,2019-06-16,AA,AA,AA,1099,AA,N907NN,1099,10721,BOS,"Boston, MA",13303,MIA,"Miami, FL",1249,1621,N,212,1,1258,0.0,3,6,6,2,0.0578661407231937,0.0564782044844364,-0.0014495905267393,0.1018549855022089,0.01854,0.01078,0.0142619089281628,0.0230438937719569,Moderate rain,2,Torrential rain shower,3
5004,2018-03-21,UA,UA_CODESHARE,UA,4760,AX,N13124,4760,10279,AMA,"Amarillo, TX",11292,DEN,"Denver, CO",1235,1300,N,85,1,359,0.0,2,2,3,1,0.0578661407231937,0.0540440770506113,0.055915695644676,0.3502657166116329,0.00098,0.0344,0.0005992489198174,0.0307716743165574,Partly cloudy,1,Partly cloudy,1
35776,2019-06-13,AA,AA_CODESHARE,AA,5778,YV,N945LR,5778,13158,MAF,"Midland/Odessa, TX",11298,DFW,"Dallas/Fort Worth, TX",1226,1345,N,79,1,309,0.0,3,3,6,2,0.0578661407231937,0.0540440770506113,-0.0014495905267393,0.3502657166116329,0.00128,0.03598,0.0008856823657679,0.0232829472494043,Partly cloudy,1,Sunny,1
6068,2018-04-06,DL,DL,DL,2155,DL,N672DL,2155,14869,SLC,"Salt Lake City, UT",10397,ATL,"Atlanta, GA",700,1243,N,223,1,1590,0.0,2,4,4,1,0.0553030528955235,0.0578661407231937,-0.019545193431566,0.1018549855022089,0.01512,0.04904,0.0138074919575195,0.0351327850537735,Overcast,2,Partly cloudy,1
20011,2018-10-25,DL,DL,DL,2313,DL,N3733Z,2313,13487,MSP,"Minneapolis, MN",11066,CMH,"Columbus, OH",1325,1614,N,109,1,626,0.0,4,3,10,0,0.0540440770506113,0.0564782044844364,-0.019545193431566,0.3502657166116329,0.01992,0.00632,0.0232630261262837,0.0053410146312573,Light drizzle,1,Cloudy,2
7767,2018-05-02,DL,DL,DL,2201,DL,N689DL,2201,12892,LAX,"Los Angeles, CA",10397,ATL,"Atlanta, GA",1515,2232,N,257,1,1947,0.0,2,2,5,1,0.059419307466565,0.0324335390520282,-0.019545193431566,0.0474920803339217,0.03138,0.04904,0.0281270106201122,0.0351327850537735,Partly cloudy,1,Partly cloudy,1
42500,2019-09-15,DL,DL,DL,710,DL,N376DA,710,10397,ATL,"Atlanta, GA",11193,CVG,"Cincinnati, OH",1700,1823,N,83,1,373,0.0,4,6,9,0,0.0617647746296217,0.0596586901976398,-0.019545193431566,0.3502657166116329,0.04904,0.00628,0.0351327850537735,0.0104478214636641,Sunny,1,Sunny,1
10521,2018-06-12,DL,DL,DL,2150,DL,N307DX,2150,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",1855,2037,N,102,1,404,0.0,3,1,6,2,0.0596586901976398,0.0532356565816952,-0.019545193431566,0.3502657166116329,0.04904,0.01688,0.0351327850537735,0.0162459451092296,Light rain shower,1,Torrential rain shower,3
43547,2019-09-30,WN,WN,WN,2343,WN,N8578Q,2343,13232,MDW,"Chicago, IL",14893,SMF,"Sacramento, CA",835,1105,N,270,1,1790,0.0,4,0,9,0,0.0660930078480459,0.0581659736388834,-0.0372526735518979,0.0474920803339217,0.01122,0.00682,0.0064345227679592,0.0044628699877512,Patchy rain possible,1,Sunny,1
46107,2019-11-05,AA,AA,AA,1795,AA,N655AW,1795,11423,DSM,"Des Moines, IA",14107,PHX,"Phoenix, AZ",735,959,N,204,1,1149,0.0,4,1,11,0,0.0553030528955235,0.0623523504240782,-0.0014495905267393,0.1018549855022089,0.00212,0.0222,0.0028611040071069,0.0165856810197461,Overcast,2,Sunny,1
6839,2018-04-17,F9,F9,F9,1151,F9,N206FR,1151,12264,IAD,"Washington, DC",12889,LAS,"Las Vegas, NV",745,1003,N,318,1,2065,0.0,2,1,4,1,0.0553030528955235,0.0595136097545641,0.0013041744428902,0.0282516365277256,0.01252,0.02098,0.0142279891779844,0.0159352832702946,Overcast,2,Sunny,1
41501,2019-08-31,NK,NK,NK,380,NK,N674NK,380,11697,FLL,"Fort Lauderdale, FL",11433,DTW,"Detroit, MI",2057,2357,N,180,1,1127,0.0,3,5,8,2,0.0532356565816952,0.0181479514238436,-0.0136902324244572,0.1018549855022089,0.01284,0.02234,0.0139690145774164,0.0236512188227693,Light rain shower,1,Partly cloudy,1
13620,2018-07-25,AA,AA,AA,1535,AA,N979NN,1535,14831,SJC,"San Jose, CA",13930,ORD,"Chicago, IL",742,1401,N,259,1,1829,0.0,3,2,7,2,0.0553030528955235,0.0555247035724447,-0.0014495905267393,0.0474920803339217,0.00898,0.04976,0.0053695502941057,0.0421127158682513,Sunny,1,Sunny,1
8839,2018-05-18,AA,AA,AA,1104,AA,N931AM,1104,11298,DFW,"Dallas/Fort Worth, TX",12953,LGA,"New York, NY",729,1205,N,216,1,1389,0.0,2,4,5,1,0.0553030528955235,0.0578661407231937,-0.0014495905267393,0.1018549855022089,0.03598,0.0205,0.0232829472494043,0.0116398583985032,Sunny,1,Cloudy,2
42751,2019-09-18,UA,UA,UA,1711,UA,N62894,1711,12892,LAX,"Los Angeles, CA",11292,DEN,"Denver, CO",1613,1934,N,141,1,862,0.0,4,2,9,0,0.0564782044844364,0.0561961036229004,0.055915695644676,0.2253118320878343,0.03138,0.0344,0.0281270106201122,0.0307716743165574,Sunny,1,Patchy rain possible,1
30515,2019-03-29,DL,DL_CODESHARE,DL,4298,OO,N418SW,4298,11433,DTW,"Detroit, MI",11823,FWA,"Fort Wayne, IN",2010,2113,N,63,1,128,0.0,2,4,3,1,0.0532356565816952,0.0430260234014754,-0.019545193431566,0.2134239483384708,0.02234,0.00086,0.0236512188227693,0.0010547427079267,Patchy light rain,1,Light rain,1
49117,2019-12-18,DL,DL,DL,1665,DL,N305DQ,1665,11641,FAY,"Fayetteville, NC",10397,ATL,"Atlanta, GA",600,733,N,93,1,331,0.0,1,2,12,1,0.0486011424278889,0.0553030528955235,-0.019545193431566,0.3502657166116329,0.0006,0.04904,0.0003962688274803,0.0351327850537735,Sunny,1,Sunny,1
29028,2019-03-09,WN,WN,WN,3458,WN,N938WN,3458,13796,OAK,"Oakland, CA",12954,LGB,"Long Beach, CA",820,945,N,85,1,353,0.0,2,5,3,1,0.0660930078480459,0.0623523504240782,-0.0372526735518979,0.3502657166116329,0.00674,0.0022,0.0067801811745386,0.0009416768739988,Light rain shower,1,Partly cloudy,1
11260,2018-06-22,AA,AA_CODESHARE,AA,5315,OH,N589NN,5315,11057,CLT,"Charlotte, NC",11252,DAB,"Daytona Beach, FL",1754,1919,N,85,1,416,0.0,3,4,6,2,0.0617647746296217,0.0561961036229004,-0.0014495905267393,0.3502657166116329,0.03218,0.00056,0.0191528138586407,0.0003537345375741,Patchy rain possible,1,Torrential rain shower,3
16247,2018-08-30,WN,WN,WN,6591,WN,N284WN,6591,12191,HOU,"Houston, TX",14908,SNA,"Santa Ana, CA",1905,2030,N,205,1,1357,21.0,3,3,8,2,0.0561961036229004,0.0532356565816952,-0.0372526735518979,0.1018549855022089,0.00716,0.00528,0.0047918377236078,0.0025859771445492,Moderate or heavy rain shower,2,Partly cloudy,1
45943,2019-11-03,AS,AS_CODESHARE,AS,2216,QX,N439QX,2216,13264,MFR,"Medford, OR",14747,SEA,"Seattle, WA",1210,1340,N,90,1,352,0.0,4,6,11,0,0.0578661407231937,0.0540440770506113,-0.0257496334476613,0.3502657166116329,0.00126,0.024,0.0008544546592545,0.017266229658245,Sunny,1,Sunny,1
45827,2019-11-01,WN,WN,WN,339,WN,N786SW,339,13232,MDW,"Chicago, IL",12889,LAS,"Las Vegas, NV",1030,1225,N,235,1,1521,0.0,4,4,11,0,0.0595136097545641,0.0578661407231937,-0.0372526735518979,0.0474920803339217,0.01122,0.02098,0.0064345227679592,0.0159352832702946,Overcast,2,Sunny,1
30961,2019-04-05,AA,AA,AA,478,AA,N604AW,478,14107,PHX,"Phoenix, AZ",14100,PHL,"Philadelphia, PA",1530,2301,N,271,1,2075,0.0,2,4,4,1,0.059419307466565,0.0181479514238436,-0.0014495905267393,0.0474920803339217,0.0222,0.01914,0.0165856810197461,0.0171671624513749,Partly cloudy,1,Moderate rain,2
5277,2018-03-25,DL,DL_CODESHARE,DL,5978,YX,N216JQ,5978,13930,ORD,"Chicago, IL",12953,LGA,"New York, NY",1530,1845,N,135,1,733,0.0,2,6,3,1,0.059419307466565,0.0596586901976398,-0.019545193431566,0.2253118320878343,0.04976,0.0205,0.0421127158682513,0.0116398583985032,Cloudy,2,Light sleet showers,1
37539,2019-07-08,AA,AA,AA,496,AA,N987NN,496,13930,ORD,"Chicago, IL",11278,DCA,"Washington, DC",854,1152,N,118,1,612,0.0,3,0,7,2,0.0660930078480459,0.0581659736388834,-0.0014495905267393,0.3502657166116329,0.04976,0.01814,0.0421127158682513,0.010507046424293,Sunny,1,Moderate or heavy rain shower,2
30179,2019-03-25,WN,WN,WN,4,WN,N923WN,4,11259,DAL,"Dallas, TX",12953,LGA,"New York, NY",855,1315,N,200,1,1381,200.0,2,0,3,1,0.0660930078480459,0.0540440770506113,-0.0372526735518979,0.1018549855022089,0.0089,0.0205,0.0051428802175171,0.0116398583985032,Patchy rain possible,1,Patchy light drizzle,1
2606,2018-02-12,WN,WN,WN,782,WN,N7711N,782,11292,DEN,"Denver, CO",14730,SDF,"Louisville, KY",1820,2245,N,145,1,1024,0.0,1,0,2,0,0.0596586901976398,0.0324335390520282,-0.0372526735518979,0.2253118320878343,0.0344,0.00366,0.0307716743165574,0.0106944126633734,Patchy moderate snow,1,Patchy snow possible,1
16766,2018-09-07,DL,DL_CODESHARE,DL,5793,CP,N612CZ,5793,12892,LAX,"Los Angeles, CA",12889,LAS,"Las Vegas, NV",700,814,N,74,1,236,0.0,4,4,9,0,0.0553030528955235,0.0660930078480459,-0.019545193431566,0.3502657166116329,0.03138,0.02098,0.0281270106201122,0.0159352832702946,Sunny,1,Sunny,1
23126,2018-12-10,F9,F9,F9,1308,F9,N706FR,1308,14107,PHX,"Phoenix, AZ",13930,ORD,"Chicago, IL",1930,2359,N,209,1,1440,0.0,1,0,12,1,0.0561961036229004,0.0181479514238436,0.0013041744428902,0.1018549855022089,0.0222,0.04976,0.0165856810197461,0.0421127158682513,Partly cloudy,1,Sunny,1
25189,2019-01-10,AA,AA_CODESHARE,AA,3744,MQ,N236NN,3744,11298,DFW,"Dallas/Fort Worth, TX",10713,BOI,"Boise, ID",1900,2136,N,216,1,1272,0.0,1,3,1,0,0.0561961036229004,0.0430260234014754,-0.0014495905267393,0.1018549855022089,0.03598,0.00308,0.0232829472494043,0.0027184256928647,Overcast,2,Moderate or heavy rain shower,2
31205,2019-04-09,AA,AA,AA,2520,AA,N813AN,2520,11298,DFW,"Dallas/Fort Worth, TX",13930,ORD,"Chicago, IL",1830,2048,N,138,1,801,0.0,2,1,4,1,0.0596586901976398,0.0532356565816952,-0.0014495905267393,0.2253118320878343,0.03598,0.04976,0.0232829472494043,0.0421127158682513,Sunny,1,Partly cloudy,1
23015,2018-12-08,AA,AA_CODESHARE,AA,6007,CP,N214NN,6007,12892,LAX,"Los Angeles, CA",14771,SFO,"San Francisco, CA",1230,1355,N,85,1,337,0.0,1,5,12,1,0.0578661407231937,0.0540440770506113,-0.0014495905267393,0.3502657166116329,0.03138,0.02218,0.0281270106201122,0.0179365485308171,Partly cloudy,1,Partly cloudy,1
42959,2019-09-21,AA,AA_CODESHARE,AA,4611,YX,N425YX,4611,10785,BTV,"Burlington, VT",14100,PHL,"Philadelphia, PA",1017,1145,N,88,1,335,0.0,4,5,9,0,0.0595136097545641,0.0581659736388834,-0.0014495905267393,0.3502657166116329,0.00142,0.01914,0.0014429354044122,0.0171671624513749,Partly cloudy,1,Sunny,1
9826,2018-06-02,B6,B6,B6,198,B6,N565JB,198,13204,MCO,"Orlando, FL",12953,LGA,"New York, NY",600,831,N,151,1,950,0.0,3,5,6,2,0.0486011424278889,0.0660930078480459,0.0271423089156718,0.2253118320878343,0.01688,0.0205,0.0162459451092296,0.0116398583985032,Moderate or heavy rain shower,2,Moderate or heavy rain shower,2
28952,2019-03-08,AA,AA_CODESHARE,AA,3769,MQ,N844AE,3769,11298,DFW,"Dallas/Fort Worth, TX",10155,ACT,"Waco, TX",1230,1315,N,45,1,89,0.0,2,4,3,1,0.0578661407231937,0.0540440770506113,-0.0014495905267393,0.2134239483384708,0.03598,0.00014,0.0232829472494043,0.000204056909803,Overcast,2,Overcast,2
25520,2019-01-15,AA,AA,AA,1045,AA,N853NN,1045,13930,ORD,"Chicago, IL",14747,SEA,"Seattle, WA",1000,1245,N,285,1,1721,0.0,1,1,1,0,0.0595136097545641,0.0578661407231937,-0.0014495905267393,0.0282516365277256,0.04976,0.024,0.0421127158682513,0.017266229658245,Ice pellets,3,Cloudy,2
45670,2019-10-29,AS,AS,AS,16,AS,N448AS,16,14747,SEA,"Seattle, WA",13204,MCO,"Orlando, FL",810,1650,N,340,1,2554,0.0,4,1,10,0,0.0660930078480459,0.0564782044844364,-0.0257496334476613,0.0240730408163887,0.024,0.01688,0.017266229658245,0.0162459451092296,Sunny,1,Patchy rain possible,1
3104,2018-02-21,G4,G4,G4,178,G4,332NV,178,10466,AZA,"Phoenix, AZ",14730,SDF,"Louisville, KY",650,1210,N,200,1,1490,0.0,1,2,2,0,0.0486011424278889,0.0578661407231937,0.018603187644906,0.1018549855022089,0.00072,0.00366,0.0023808434172802,0.0106944126633734,Sunny,1,Light rain,1
14268,2018-08-03,UA,UA,UA,1867,UA,N61887,1867,14747,SEA,"Seattle, WA",12266,IAH,"Houston, TX",1235,1857,N,262,1,1874,0.0,3,4,8,2,0.0578661407231937,0.0596586901976398,0.055915695644676,0.0474920803339217,0.024,0.02232,0.017266229658245,0.024859946428331,Cloudy,2,Partly cloudy,1
13244,2018-07-20,NK,NK,NK,1004,NK,N620NK,1004,11433,DTW,"Detroit, MI",10821,BWI,"Baltimore, MD",1915,2042,N,87,1,409,0.0,3,4,7,2,0.0561961036229004,0.0532356565816952,-0.0136902324244572,0.3502657166116329,0.02234,0.01352,0.0236512188227693,0.0103239874550765,Patchy rain possible,1,Sunny,1
18524,2018-10-03,AA,AA_CODESHARE,AA,4696,YX,N422YX,4696,13303,MIA,"Miami, FL",12451,JAX,"Jacksonville, FL",1336,1458,N,82,1,335,0.0,4,2,10,0,0.0540440770506113,0.0555247035724447,-0.0014495905267393,0.3502657166116329,0.01078,0.00444,0.0230438937719569,0.004056371394344,Patchy rain possible,1,Sunny,1
41611,2019-09-02,UA,UA_CODESHARE,UA,4793,AX,N11155,4793,11292,DEN,"Denver, CO",14730,SDF,"Louisville, KY",1100,1550,N,170,1,1024,0.0,4,0,9,0,0.0581659736388834,0.059419307466565,0.055915695644676,0.2253118320878343,0.0344,0.00366,0.0307716743165574,0.0106944126633734,Sunny,1,Light rain shower,1
42419,2019-09-13,WN,WN,WN,2303,WN,N7717D,2303,10821,BWI,"Baltimore, MD",11259,DAL,"Dallas, TX",1005,1210,N,185,1,1209,0.0,4,4,9,0,0.0595136097545641,0.0578661407231937,-0.0372526735518979,0.1018549855022089,0.01352,0.0089,0.0103239874550765,0.0051428802175171,Patchy light drizzle,1,Patchy rain possible,1
17486,2018-09-18,DL,DL,DL,164,DL,N948DN,164,15016,STL,"St. Louis, MO",13487,MSP,"Minneapolis, MN",1948,2125,N,97,1,448,0.0,4,1,9,0,0.0561961036229004,0.0430260234014754,-0.019545193431566,0.3502657166116329,0.00896,0.01992,0.008162814800856,0.0232630261262837,Partly cloudy,1,Light rain shower,1
45928,2019-11-03,AA,AA_CODESHARE,AA,5315,OH,N597NN,5315,11252,DAB,"Daytona Beach, FL",11057,CLT,"Charlotte, NC",1955,2139,N,104,1,416,0.0,4,6,11,0,0.0561961036229004,0.0430260234014754,-0.0014495905267393,0.3502657166116329,0.00056,0.03218,0.0003537345375741,0.0191528138586407,Partly cloudy,1,Sunny,1
46353,2019-11-08,DL,DL_CODESHARE,DL,3344,9E,N914XJ,3344,11423,DSM,"Des Moines, IA",13487,MSP,"Minneapolis, MN",1321,1439,N,78,1,232,0.0,4,4,11,0,0.0540440770506113,0.0555247035724447,-0.019545193431566,0.3502657166116329,0.00212,0.01992,0.0028611040071069,0.0232630261262837,Overcast,2,Overcast,2
42462,2019-09-14,WN,WN,WN,5543,WN,N8325D,5543,15016,STL,"St. Louis, MO",11618,EWR,"Newark, NJ",1135,1500,N,145,1,872,0.0,4,5,9,0,0.0581659736388834,0.059419307466565,-0.0372526735518979,0.2253118320878343,0.00896,0.02008,0.008162814800856,0.022154442545058,Patchy rain possible,1,Overcast,2
47504,2019-11-25,DL,DL,DL,2808,DL,N981AT,2808,10868,CAE,"Columbia, SC",10397,ATL,"Atlanta, GA",625,729,N,64,1,192,0.0,4,0,11,0,0.0486011424278889,0.0553030528955235,-0.019545193431566,0.2134239483384708,0.00128,0.04904,0.0015942282583823,0.0351327850537735,Sunny,1,Sunny,1
